home,away,league,home_score,away_score,home_starting_1,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,home_bench_3,home_bench_4,home_bench_5,away_starting_1,away_starting_2,away_starting_3,away_starting_4,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11,away_bench_3,away_bench_4,away_bench_5
Portsmouth,Wigan Athletic,07-Aug,2,0,David James,Sol Campbell,Hermann Hreidarsson,Sylvain Distin,Glen Johnson,Sean Davis,John Utaka,Niko Kranjcar,Pedro Mendes,Jermain Defoe,Milan Baros,Lauren,Richard Hughes,David Nugent,Chris Kirkland,Emmerson Boyce,Mario Melchiot,Ryan Taylor,Erik Hagen,Kevin Kilbane,Josip Skoko,Antonio Valencia,Marcus Bent,Emile Heskey,Julius Aghahowa,Antoine Sibierski,Marlon King
Reading,Blackburn Rovers,07-Aug,0,0,Marcus Hahnemann,Nicky Shorey,Ivar Ingimarsson,Andre Bikey,Liam Rosenior,James Harper,John Oster,Marek Matejovsky,Stephen Hunt,Dave Kitson,Kevin Doyle,Bobby Convey,Shane Long,Kalifa Cisse,Brad Friedel,Zurab Khizanishvili,Andre Ooijer,Stephen Warnock,Steven Reid,David Dunn,Morten Gamst Pedersen,David Bentley,Jason Roberts,Roque Santa Cruz,Johann Vogel,Benedict McCarthy,Matt Derbyshire
Sunderland,West Ham United,07-Aug,2,1,Craig Gordon,Nyron Nosworthy,Danny Collins,Phil Bardsley,Jonny Evans,Andy Reid,Dean Whitehead,Kieran Richardson,Daryl Murphy,Michael Chopra,Kenwyne Jones,Carlos Edwards,Roy O'Donovan,Grant Leadbitter,Robert Green,Lucas Neill,George McCartney,Anton Ferdinand,Hayden Mullins,Scott Parker,Freddie Ljungberg,Mark Noble,Dean Ashton,Carlton Cole,John Pantsil,James Tomkins,Nolberto Solano
Manchester United,Aston Villa,07-Aug,4,0,Tomasz Kuszczak,Rio Ferdinand,Wes Brown,Patrice Evra,Nemanja Vidic,Michael Carrick,Ryan Giggs,Paul Scholes,Cristiano Ronaldo,Wayne Rooney,Carlos Tevez,Owen Hargreaves,John O'Shea,Anderson,Scott Carson,Martin Laursen,Wilfred Bouma,Olof Mellberg,Gareth Barry,Nigel Reo-Coker,Marlon Harewood,John Carew,Ashley Young,Gabriel Agbonlahor,Isaiah Osbourne,Moustapha Salifou,Shaun Maloney
Chelsea,Middlesbrough,07-Aug,1,0,Carlo Cudicini,Juliano Belletti,Wayne Bridge,John Terry,Ricardo Carvalho,Joe Cole,Michael Essien,Michael Ballack,John Obi Mikel,Didier Drogba,Salomon Kalou,Shaun Wright-Phillips,Alex,Nicolas Anelka,Mark Schwarzer,Luke Young,Emanuel Pogatetz,Andrew Taylor,Gary O'Neil,George Boateng,Stewart Downing,Lee Cattermole,Jeremie Aliadiere,Tuncay Sanli,Adam Johnson,Mohamed Shawky,Afonso Alves
Tottenham Hotspur,Newcastle United,07-Aug,1,4,Paul Robinson,Jonathan Woodgate,Michael Dawson,Alan Hutton,Steed Malbranque,Didier Zokora,Tom Huddlestone,Jamie O'Hara,Robbie Keane,Darren Bent,Dimitar Berbatov,Aaron Lennon,Teemu Tainio,Adel Taarabt,Steve Harper,Steven Taylor,Habib Beye,Jose Enrique,Geremi,Abdoulaye Faye,Joey Barton,Mark Viduka,Michael Owen,Obafemi Martins,David Edgar,Alan Smith,Andy Carroll
Liverpool,Everton,07-Aug,1,0,Pepe Reina,Jamie Carragher,Sami Hyypia,Martin Skrtel,Steven Gerrard,John Arne Riise,Xabi Alonso,Lucas Leiva,Dirk Kuyt,Fernando Torres,Ryan Babel,Peter Crouch,Jermaine Pennant,Yossi Benayoun,Tim Howard,Joleon Lescott,Tony Hibbert,Phil Neville,Phil Jagielka,Lee Carsley,Leon Osman,Mikel Arteta,Steven Pienaar,Yakubu Aiyegbeni,Thomas Gravesen,Leighton Baines,Manuel Fernandes
Arsenal,Liverpool,07-Aug,1,1,Manuel Almunia,William Gallas,Kolo Toure,Justin Hoyte,Emmanuel Eboue,Armand Traore,Gilberto Silva,Cesc Fabregas,Mathieu Flamini,Theo Walcott,Nicklas Bendtner,Emmanuel Adebayor,Gael Clichy,Alexsandr Hleb,Pepe Reina,Jamie Carragher,Steve Finnan,Alvaro Arbeloa,John Arne Riise,Jermaine Pennant,Yossi Benayoun,Damien Plessis,Lucas Leiva,Peter Crouch,Steven Gerrard,Andriy Voronin,Fernando Torres
Aston Villa,Bolton Wanderers,07-Aug,4,0,Scott Carson,Zat Knight,Martin Laursen,Wilfred Bouma,Olof Mellberg,Stiliyan Petrov,Gareth Barry,Nigel Reo-Coker,John Carew,Ashley Young,Gabriel Agbonlahor,Wayne Routledge,Marlon Harewood,Patrik Berger,Ali Al Habsi,Andrew O'Brien,Gretar Rafn Steinsson,Gary Cahill,Matthew Taylor,Gavin McCann,Danny Guthrie,Heidar Helguson,Kevin Davies,El-Hadji Diouf,Ivan Campo,Stelios Giannakopoulos,Tamir Cohen
Blackburn Rovers,Tottenham Hotspur,07-Aug,1,1,Brad Friedel,Andre Ooijer,Stephen Warnock,Ryan Nelsen,Christopher Samba,Steven Reid,Morten Gamst Pedersen,Johann Vogel,David Bentley,Jason Roberts,Roque Santa Cruz,Brett Emerton,Aaron Mokoena,Benedict McCarthy,Radek Cerny,Jonathan Woodgate,Michael Dawson,Pascal Chimbonda,Jermaine Jenas,Steed Malbranque,Didier Zokora,Aaron Lennon,Robbie Keane,Dimitar Berbatov,Gilberto Melo,Tom Huddlestone,Darren Bent
Fulham,Sunderland,07-Aug,1,3,Kasey Keller,Paul Konchesky,Aaron Hughes,Paul Stalteri,Brede Hangeland,Leon Andreasen,Jimmy Bullard,Danny Murphy,Simon Davies,Brian McBride,Diomansy Kamara,Clint Dempsey,David Healy,Hameur Bouazza,Craig Gordon,Nyron Nosworthy,Danny Collins,Phil Bardsley,Andy Reid,Carlos Edwards,Dean Whitehead,Kieran Richardson,Daryl Murphy,Kenwyne Jones,Michael Chopra,Grant Leadbitter,Roy O'Donovan
Manchester City,Chelsea,07-Aug,0,2,Joe Hart,Richard Dunne,Michael Ball,Nedum Onuoha,Vedran Corluka,Martin Petrov,Stephen Ireland,Elano,Michael Johnson,Gelson Fernandes,Benjani Mwaruwari,Sun Jihai,Felipe Caicedo,Darius Vassell,Carlo Cudicini,Juliano Belletti,Ashley Cole,John Terry,Shaun Wright-Phillips,Frank Lampard,Michael Essien,John Obi Mikel,Nicolas Anelka,Salomon Kalou,Andriy Shevchenko,Paulo Ferreira,Joe Cole
Newcastle United,Reading,07-Aug,3,0,Steve Harper,Habib Beye,Abdoulaye Faye,Jose Enrique,David Edgar,Nicky Butt,Geremi,Joey Barton,Mark Viduka,Michael Owen,Obafemi Martins,Lamine Diatta,Alan Smith,Damien Duff,Marcus Hahnemann,Nicky Shorey,Ivar Ingimarsson,Andre Bikey,James Harper,John Oster,Kalifa Cisse,Stephen Hunt,Dave Kitson,Kevin Doyle,Bobby Convey,Emerse Fae,Shane Long
Wigan Athletic,Birmingham City,07-Aug,2,0,Chris Kirkland,Emmerson Boyce,Mario Melchiot,Ryan Taylor,Paul Scharner,Kevin Kilbane,Josip Skoko,Antonio Valencia,Wilson Palacios,Marcus Bent,Emile Heskey,Antoine Sibierski,Maynor Figueroa,Marlon King,Maik Taylor,Martin Taylor,Radhi Jaidi,Stephen Kelly,Damien Johnson,Gary McSheffrey,Sebastian Larsson,Fabrice Muamba,Mikael Forssell,Mauro Zarate,Stuart Parnaby,Mehdi Nafti,Cameron Jerome
Middlesbrough,Manchester United,07-Aug,2,2,Mark Schwarzer,Luke Young,Emanuel Pogatetz,Andrew Taylor,David Wheater,Gary O'Neil,Julio Arca,George Boateng,Stewart Downing,Jeremie Aliadiere,Afonso Alves,Lee Cattermole,Adam Johnson,Tuncay Sanli,Edwin van der Sar,John O'Shea,Rio Ferdinand,Wes Brown,Michael Carrick,Ryan Giggs,Paul Scholes,Cristiano Ronaldo,Wayne Rooney,Carlos Tevez,Owen Hargreaves,Gerard Pique,Park Ji-Sung
Everton,Derby County,07-Aug,1,0,Tim Howard,Joleon Lescott,Phil Neville,Joseph Yobo,Leighton Baines,Lee Carsley,Leon Osman,Mikel Arteta,Manuel Fernandes,Andrew Johnson,Yakubu Aiyegbeni,Nuno Valente,Phil Jagielka,Victor Anichebe,Roy Carroll,Darren Moore,Andy Todd,Dean Leacock,Mile Sterjovski,Eddie Lewis,Hossam Ghaly,David Jones,Kenny Miller,Emanuel Villa,Benny Feilhaber,Robert Earnshaw,Tyrone Mears
West Ham United,Portsmouth,07-Aug,0,1,Robert Green,Lucas Neill,George McCartney,Anton Ferdinand,Jonathan Spector,Hayden Mullins,Scott Parker,Nolberto Solano,Dean Ashton,Bobby Zamora,Luis Boa Morte,Carlton Cole,John Pantsil,Freddie Sears,David James,Sol Campbell,Hermann Hreidarsson,Sylvain Distin,Papa Bouba Diop,Sulley Muntari,Niko Kranjcar,Arnold Mvuemba,Pedro Mendes,David Nugent,Sean Davis,Richard Hughes,Nwankwo Kanu
Birmingham City,Everton,07-Aug,1,1,Maik Taylor,Liam Ridgewell,Radhi Jaidi,Stephen Kelly,David Murphy,Gary McSheffrey,Mehdi Nafti,Sebastian Larsson,Fabrice Muamba,James McFadden,Mikael Forssell,Cameron Jerome,Mauro Zarate,Garry O'Connor,Tim Howard,Joleon Lescott,Tony Hibbert,Phil Neville,Phil Jagielka,Lee Carsley,Steven Pienaar,Manuel Fernandes,Andrew Johnson,Yakubu Aiyegbeni,Nuno Valente,Victor Anichebe,Thomas Gravesen
Bolton Wanderers,West Ham United,07-Aug,1,0,Ali Al Habsi,Jlloyd Samuel,Andrew O'Brien,Gretar Rafn Steinsson,Gary Cahill,Matthew Taylor,Kevin Nolan,Gavin McCann,Ivan Campo,Kevin Davies,El-Hadji Diouf,Tamir Cohen,Andranik Teymourian,Grzegorz Rasiak,Robert Green,Matthew Upson,George McCartney,Anton Ferdinand,Hayden Mullins,Scott Parker,Jack Collison,Dean Ashton,Bobby Zamora,Luis Boa Morte,John Pantsil,Carlton Cole,Freddie Sears
Derby County,Aston Villa,07-Aug,0,6,Roy Carroll,Tyrone Mears,Darren Moore,Andy Todd,Alan Stubbs,Robbie Savage,Eddie Lewis,Hossam Ghaly,David Jones,Kenny Miller,Emanuel Villa,Dean Leacock,Robert Earnshaw,James McEveley,Scott Carson,Zat Knight,Martin Laursen,Wilfred Bouma,Stiliyan Petrov,Gareth Barry,Nigel Reo-Coker,John Carew,Ashley Young,Gabriel Agbonlahor,Moustapha Salifou,Marlon Harewood,Patrik Berger
Reading,Fulham,07-Aug,0,2,Marcus Hahnemann,Nicky Shorey,Ivar Ingimarsson,Andre Bikey,Liam Rosenior,James Harper,John Oster,Marek Matejovsky,Stephen Hunt,Kevin Doyle,Shane Long,Glen Little,Kalifa Cisse,Dave Kitson,Kasey Keller,Paul Konchesky,Aaron Hughes,Paul Stalteri,Jimmy Bullard,Danny Murphy,Simon Davies,Clint Dempsey,David Healy,Brian McBride,Leon Andreasen,Carlos Bocanegra,Erik Nevland
Sunderland,Manchester City,07-Aug,1,2,Craig Gordon,Nyron Nosworthy,Danny Collins,Phil Bardsley,Jonny Evans,Andy Reid,Dean Whitehead,Michael Chopra,Kieran Richardson,Daryl Murphy,Kenwyne Jones,Roy O'Donovan,Grant Leadbitter,Carlos Edwards,Joe Hart,Richard Dunne,Michael Ball,Sun Jihai,Martin Petrov,Stephen Ireland,Elano,Michael Johnson,Gelson Fernandes,Benjani Mwaruwari,Daniel Sturridge,Darius Vassell,Dietmar Hamann
Tottenham Hotspur,Middlesbrough,07-Aug,1,1,Radek Cerny,Jonathan Woodgate,Michael Dawson,Pascal Chimbonda,Alan Hutton,Jermaine Jenas,Steed Malbranque,Didier Zokora,Aaron Lennon,Robbie Keane,Dimitar Berbatov,Gilberto Melo,Tom Huddlestone,Darren Bent,Mark Schwarzer,Luke Young,Emanuel Pogatetz,David Wheater,Gary O'Neil,Julio Arca,George Boateng,Stewart Downing,Jeremie Aliadiere,Afonso Alves,Adam Johnson,Tuncay Sanli,Fabio Rochemback
Portsmouth,Newcastle United,07-Aug,0,0,David James,Sol Campbell,Hermann Hreidarsson,Sylvain Distin,Glen Johnson,Papa Bouba Diop,Sean Davis,Sulley Muntari,Niko Kranjcar,Jermain Defoe,Nwankwo Kanu,Richard Hughes,Pedro Mendes,David Nugent,Steve Harper,Steven Taylor,Habib Beye,Jose Enrique,Geremi,Abdoulaye Faye,Joey Barton,Mark Viduka,Michael Owen,Obafemi Martins,Damien Duff,Andy Carroll,Alan Smith
Liverpool,Blackburn Rovers,07-Aug,3,1,Pepe Reina,Jamie Carragher,Fabio Aurelio,Alvaro Arbeloa,Martin Skrtel,Steven Gerrard,Xabi Alonso,Lucas Leiva,Dirk Kuyt,Fernando Torres,Ryan Babel,John Arne Riise,Andriy Voronin,Yossi Benayoun,Brad Friedel,Stephen Warnock,Ryan Nelsen,Christopher Samba,Morten Gamst Pedersen,Johann Vogel,Brett Emerton,David Bentley,Jason Roberts,Roque Santa Cruz,Aaron Mokoena,Benedict McCarthy,David Dunn
Manchester United,Arsenal,07-Aug,2,1,Edwin van der Sar,Rio Ferdinand,Wes Brown,Patrice Evra,Gerard Pique,Michael Carrick,Paul Scholes,Owen Hargreaves,Cristiano Ronaldo,Wayne Rooney,Park Ji-Sung,Anderson,Ryan Giggs,Carlos Tevez,Jens Lehmann,William Gallas,Kolo Toure,Emmanuel Eboue,Gilberto Silva,Alexsandr Hleb,Cesc Fabregas,Alex Song,Emmanuel Adebayor,Robin van Persie,Justin Hoyte,Theo Walcott,Nicklas Bendtner
Chelsea,Wigan Athletic,07-Aug,1,1,Petr Cech,Juliano Belletti,Wayne Bridge,John Terry,Michael Essien,Alex,Frank Lampard,Michael Ballack,John Obi Mikel,Florent Malouda,Nicolas Anelka,Claudio Pizarro,Andriy Shevchenko,Joe Cole,Chris Kirkland,Emmerson Boyce,Kevin Kilbane,Mario Melchiot,Ryan Taylor,Josip Skoko,Julius Aghahowa,Antonio Valencia,Wilson Palacios,Marcus Bent,Marlon King,Jason Koumas,Antoine Sibierski
Everton,Chelsea,07-Aug,0,1,Tim Howard,Joleon Lescott,Tony Hibbert,Phil Neville,Joseph Yobo,Phil Jagielka,Lee Carsley,Steven Pienaar,Manuel Fernandes,Andrew Johnson,Yakubu Aiyegbeni,Jack Rodwell,Victor Anichebe,Thomas Gravesen,Petr Cech,Ashley Cole,John Terry,Ricardo Carvalho,Shaun Wright-Phillips,Joe Cole,Michael Essien,John Obi Mikel,Nicolas Anelka,Salomon Kalou,Andriy Shevchenko,Claude Makelele,Florent Malouda
Arsenal,Reading,07-Aug,2,0,Jens Lehmann,William Gallas,Kolo Toure,Gael Clichy,Kerrea Gilbert,Gilberto Silva,Alexsandr Hleb,Cesc Fabregas,Alex Song,Emmanuel Adebayor,Robin van Persie,Emmanuel Eboue,Denilson,Nicklas Bendtner,Marcus Hahnemann,Graeme Murty,Ivar Ingimarsson,Ibrahima Sonko,Liam Rosenior,James Harper,Bobby Convey,Kalifa Cisse,Jimmy Kebe,Dave Kitson,Michael Duberry,Emerse Fae,Marek Matejovsky
Fulham,Liverpool,07-Aug,0,2,Kasey Keller,Paul Konchesky,Aaron Hughes,Paul Stalteri,Brede Hangeland,Jimmy Bullard,Danny Murphy,Simon Davies,Clint Dempsey,David Healy,Brian McBride,Leon Andreasen,Erik Nevland,Diomansy Kamara,Pepe Reina,Sami Hyypia,Steve Finnan,Martin Skrtel,Jermaine Pennant,Yossi Benayoun,Javier Mascherano,Lucas Leiva,Peter Crouch,Andriy Voronin,Jamie Carragher,Xabi Alonso,Fabio Aurelio
Middlesbrough,Bolton Wanderers,07-Aug,0,1,Ross Turnbull,Luke Young,Emanuel Pogatetz,Andrew Taylor,David Wheater,Julio Arca,George Boateng,Stewart Downing,Jeremie Aliadiere,Afonso Alves,Tuncay Sanli,Mohamed Shawky,Fabio Rochemback,Adam Johnson,Ali Al Habsi,Jlloyd Samuel,Andrew O'Brien,Gretar Rafn Steinsson,Matthew Taylor,Kevin Nolan,Gavin McCann,Ivan Campo,Tamir Cohen,Grzegorz Rasiak,Stelios Giannakopoulos,Danny Guthrie,El-Hadji Diouf
West Ham United,Derby County,07-Aug,2,1,Robert Green,Lucas Neill,George McCartney,John Pantsil,James Tomkins,Scott Parker,Freddie Ljungberg,Mark Noble,Julien Faubert,Bobby Zamora,Freddie Sears,Luis Boa Morte,Nolberto Solano,Carlton Cole,Roy Carroll,Tyrone Mears,Andy Todd,Alan Stubbs,Robbie Savage,Mile Sterjovski,Eddie Lewis,Hossam Ghaly,David Jones,Kenny Miller,Benny Feilhaber,James McEveley,Emanuel Villa
Wigan Athletic,Tottenham Hotspur,07-Aug,1,1,Chris Kirkland,Emmerson Boyce,Mario Melchiot,Ryan Taylor,Paul Scharner,Michael Brown,Kevin Kilbane,Antonio Valencia,Wilson Palacios,Marcus Bent,Emile Heskey,Jason Koumas,Marlon King,Antoine Sibierski,Radek Cerny,Michael Dawson,Alan Hutton,Jermaine Jenas,Didier Zokora,Tom Huddlestone,Aaron Lennon,Jamie O'Hara,Robbie Keane,Dimitar Berbatov,Teemu Tainio,Gilberto Melo,Darren Bent
Blackburn Rovers,Manchester United,07-Aug,1,1,Brad Friedel,Stephen Warnock,Ryan Nelsen,Christopher Samba,Steven Reid,Morten Gamst Pedersen,Johann Vogel,Brett Emerton,David Bentley,Jason Roberts,Roque Santa Cruz,David Dunn,Benedict McCarthy,Aaron Mokoena,Tomasz Kuszczak,Rio Ferdinand,Wes Brown,Patrice Evra,Michael Carrick,Ryan Giggs,Paul Scholes,Cristiano Ronaldo,Wayne Rooney,Carlos Tevez,John O'Shea,Nani,Park Ji-Sung
Aston Villa,Birmingham City,07-Aug,5,1,Scott Carson,Zat Knight,Martin Laursen,Wilfred Bouma,Olof Mellberg,Stiliyan Petrov,Gareth Barry,Nigel Reo-Coker,John Carew,Ashley Young,Gabriel Agbonlahor,Wayne Routledge,Moustapha Salifou,Marlon Harewood,Maik Taylor,Liam Ridgewell,Radhi Jaidi,Stephen Kelly,Gary McSheffrey,Mehdi Nafti,Fabrice Muamba,James McFadden,Cameron Jerome,Mauro Zarate,Garry O'Connor,Olivier Kapo,Mikael Forssell
Newcastle United,Sunderland,07-Aug,2,0,Steve Harper,Steven Taylor,Habib Beye,Jose Enrique,Nicky Butt,Geremi,Abdoulaye Faye,Joey Barton,Mark Viduka,Michael Owen,Obafemi Martins,David Edgar,Andy Carroll,Damien Duff,Craig Gordon,Nyron Nosworthy,Danny Higginbotham,Danny Collins,Liam Miller,Andy Reid,Carlos Edwards,Dean Whitehead,Daryl Murphy,Kenwyne Jones,Ian Harte,Kieran Richardson,Michael Chopra
Manchester City,Portsmouth,07-Aug,3,1,Joe Hart,Richard Dunne,Michael Ball,Vedran Corluka,Martin Petrov,Stephen Ireland,Elano,Michael Johnson,Gelson Fernandes,Darius Vassell,Benjani Mwaruwari,Sam Williamson,Deiberson Mauricio Geovanni,Felipe Caicedo,David James,Lauren,Sol Campbell,Hermann Hreidarsson,Papa Bouba Diop,John Utaka,Sulley Muntari,Niko Kranjcar,Lassana Diarra,Jermain Defoe,Lucien Aubey,Milan Baros,Sean Davis
Chelsea,Manchester United,07-Aug,2,1,Petr Cech,Ashley Cole,John Terry,Ricardo Carvalho,Paulo Ferreira,Joe Cole,Michael Essien,Michael Ballack,John Obi Mikel,Didier Drogba,Salomon Kalou,Nicolas Anelka,Claude Makelele,Andriy Shevchenko,Edwin van der Sar,Rio Ferdinand,Wes Brown,Mikael Silvestre,Michael Carrick,Ryan Giggs,Darren Fletcher,Nani,Anderson,Wayne Rooney,Owen Hargreaves,John O'Shea,Cristiano Ronaldo
Birmingham City,Liverpool,07-Aug,2,2,Maik Taylor,Liam Ridgewell,Radhi Jaidi,Stephen Kelly,David Murphy,Olivier Kapo,Mehdi Nafti,Sebastian Larsson,Fabrice Muamba,James McFadden,Mikael Forssell,Franck Queudrue,Gary McSheffrey,Mauro Zarate,Pepe Reina,Sami Hyypia,Steve Finnan,Martin Skrtel,Jermaine Pennant,Yossi Benayoun,Damien Plessis,Lucas Leiva,Peter Crouch,Andriy Voronin,Steven Gerrard,Dirk Kuyt,Emiliano Insua
Manchester City,Fulham,07-Aug,2,3,Joe Hart,Michael Ball,Sun Jihai,Vedran Corluka,Martin Petrov,Stephen Ireland,Elano,Michael Johnson,Gelson Fernandes,Darius Vassell,Benjani Mwaruwari,Nery Castillo,Deiberson Mauricio Geovanni,Felipe Caicedo,Kasey Keller,Paul Konchesky,Aaron Hughes,Paul Stalteri,Jimmy Bullard,Danny Murphy,Simon Davies,Clint Dempsey,David Healy,Brian McBride,Carlos Bocanegra,Diomansy Kamara,Erik Nevland
Sunderland,Middlesbrough,07-Aug,3,2,Craig Gordon,Nyron Nosworthy,Danny Higginbotham,Danny Collins,Liam Miller,Andy Reid,Carlos Edwards,Dean Whitehead,Kieran Richardson,Michael Chopra,Kenwyne Jones,Rade Prica,Grant Leadbitter,Daryl Murphy,Brad Jones,Luke Young,Emanuel Pogatetz,Andrew Taylor,Julio Arca,George Boateng,Stewart Downing,Lee Cattermole,Afonso Alves,Tuncay Sanli,Adam Johnson,Mohamed Shawky,Fabio Rochemback
Tottenham Hotspur,Bolton Wanderers,07-Aug,1,1,Radek Cerny,Jonathan Woodgate,Michael Dawson,Alan Hutton,Gilberto Melo,Jermaine Jenas,Steed Malbranque,Didier Zokora,Aaron Lennon,Robbie Keane,Dimitar Berbatov,Darren Bent,Tom Huddlestone,Jamie O'Hara,Ali Al Habsi,Jlloyd Samuel,Andrew O'Brien,Gretar Rafn Steinsson,Joey O'Brien,Matthew Taylor,Kevin Nolan,Gavin McCann,Ivan Campo,Grzegorz Rasiak,Danny Guthrie,Stelios Giannakopoulos,El-Hadji Diouf
West Ham United,Newcastle United,07-Aug,2,2,Robert Green,Lucas Neill,George McCartney,John Pantsil,James Tomkins,Scott Parker,Freddie Ljungberg,Mark Noble,Julien Faubert,Dean Ashton,Bobby Zamora,Luis Boa Morte,Nolberto Solano,Carlton Cole,Steve Harper,Steven Taylor,Habib Beye,Jose Enrique,Nicky Butt,Geremi,Joey Barton,Mark Viduka,Michael Owen,Obafemi Martins,Andy Carroll,Lamine Diatta,Alan Smith
Wigan Athletic,Reading,07-Aug,0,0,Chris Kirkland,Emmerson Boyce,Kevin Kilbane,Mario Melchiot,Paul Scharner,Michael Brown,Jason Koumas,Antonio Valencia,Wilson Palacios,Marcus Bent,Emile Heskey,Ryan Taylor,Antoine Sibierski,Marlon King,Marcus Hahnemann,Nicky Shorey,Ivar Ingimarsson,Michael Duberry,James Harper,Kevin Doyle,Stephen Hunt,Andre Bikey,Dave Kitson,Leroy Lita,Marek Matejovsky,Glen Little,Shane Long
Portsmouth,Blackburn Rovers,07-Aug,0,1,Jamie Ashdown,Lauren,Sol Campbell,Sylvain Distin,Glen Johnson,Papa Bouba Diop,John Utaka,Sulley Muntari,Lassana Diarra,Jermain Defoe,Nwankwo Kanu,Sean Davis,Niko Kranjcar,Milan Baros,Brad Friedel,Stephen Warnock,Ryan Nelsen,Christopher Samba,Morten Gamst Pedersen,Johann Vogel,Brett Emerton,David Bentley,Jason Roberts,Roque Santa Cruz,Matt Derbyshire,Andre Ooijer,David Dunn
Everton,Aston Villa,07-Aug,2,2,Tim Howard,Joleon Lescott,Phil Neville,Joseph Yobo,Phil Jagielka,Lee Carsley,Leon Osman,Steven Pienaar,Manuel Fernandes,Andrew Johnson,Yakubu Aiyegbeni,Leighton Baines,Mikel Arteta,Victor Anichebe,Scott Carson,Zat Knight,Martin Laursen,Wilfred Bouma,Stiliyan Petrov,Gareth Barry,Nigel Reo-Coker,John Carew,Ashley Young,Gabriel Agbonlahor,Moustapha Salifou,Patrik Berger,Marlon Harewood
Derby County,Arsenal,07-Aug,2,6,Roy Carroll,Tyrone Mears,Darren Moore,Andy Todd,Alan Stubbs,James McEveley,Robbie Savage,Mile Sterjovski,Eddie Lewis,Hossam Ghaly,Emanuel Villa,Jason Beardsley,Robert Earnshaw,Benny Feilhaber,Lukasz Fabianski,William Gallas,Kolo Toure,Emmanuel Eboue,Cesc Fabregas,Alex Song,Denilson,Robin van Persie,Theo Walcott,Nicklas Bendtner,Johan Djourou,Gilberto Silva,Emmanuel Adebayor
Manchester United,West Ham United,07-Aug,4,1,Edwin van der Sar,Rio Ferdinand,Wes Brown,Patrice Evra,Michael Carrick,Paul Scholes,Owen Hargreaves,Cristiano Ronaldo,Nani,Park Ji-Sung,Carlos Tevez,John O'Shea,Darren Fletcher,Ryan Giggs,Robert Green,Lucas Neill,George McCartney,John Pantsil,Hayden Mullins,Scott Parker,Mark Noble,Dean Ashton,Bobby Zamora,Luis Boa Morte,Freddie Sears,Carlton Cole,Nolberto Solano
Aston Villa,Wigan Athletic,07-Aug,0,2,Scott Carson,Zat Knight,Martin Laursen,Wilfred Bouma,Olof Mellberg,Stiliyan Petrov,Gareth Barry,Nigel Reo-Coker,John Carew,Ashley Young,Gabriel Agbonlahor,Moustapha Salifou,Patrik Berger,Marlon Harewood,Chris Kirkland,Emmerson Boyce,Titus Bramble,Paul Scharner,Jason Koumas,Kevin Kilbane,Antonio Valencia,Wilson Palacios,Marcus Bent,Emile Heskey,Josip Skoko,Marlon King,Antoine Sibierski
Blackburn Rovers,Derby County,07-Aug,3,1,Brad Friedel,Stephen Warnock,Ryan Nelsen,Christopher Samba,Steven Reid,Morten Gamst Pedersen,Johann Vogel,Brett Emerton,David Bentley,Jason Roberts,Roque Santa Cruz,Martin Olsson,Tugay Kerimoglu,Matt Derbyshire,Roy Carroll,Tyrone Mears,Darren Moore,Andy Todd,Miles Addison,Robbie Savage,Eddie Lewis,Hossam Ghaly,Robert Earnshaw,Kenny Miller,Benny Feilhaber,Emanuel Villa,Mile Sterjovski
Fulham,Birmingham City,07-Aug,2,0,Kasey Keller,Paul Konchesky,Aaron Hughes,Paul Stalteri,Brede Hangeland,Jimmy Bullard,Danny Murphy,Simon Davies,Clint Dempsey,Brian McBride,Diomansy Kamara,Leon Andreasen,David Healy,Erik Nevland,Maik Taylor,Liam Ridgewell,Radhi Jaidi,Stephen Kelly,Damien Johnson,Olivier Kapo,Sebastian Larsson,Fabrice Muamba,James McFadden,Mikael Forssell,Franck Queudrue,Mauro Zarate,Cameron Jerome
Middlesbrough,Portsmouth,07-Aug,2,0,Mark Schwarzer,Luke Young,Chris Riggott,Emanuel Pogatetz,David Wheater,Julio Arca,George Boateng,Fabio Rochemback,Stewart Downing,Afonso Alves,Tuncay Sanli,Adam Johnson,Lee Cattermole,Jeremie Aliadiere,Jamie Ashdown,Sol Campbell,Hermann Hreidarsson,Sylvain Distin,Papa Bouba Diop,Niko Kranjcar,Arnold Mvuemba,Lassana Diarra,Jermain Defoe,Milan Baros,Richard Hughes,Sean Davis,David Nugent
Reading,Tottenham Hotspur,07-Aug,0,1,Marcus Hahnemann,Nicky Shorey,Ivar Ingimarsson,Michael Duberry,Andre Bikey,Liam Rosenior,James Harper,Stephen Hunt,Dave Kitson,Kevin Doyle,Leroy Lita,Marek Matejovsky,John Oster,Shane Long,Radek Cerny,Jonathan Woodgate,Michael Dawson,Alan Hutton,Jermaine Jenas,Steed Malbranque,Didier Zokora,Tom Huddlestone,Robbie Keane,Darren Bent,Adel Taarabt,Jamie O'Hara,Kevin-Prince Boateng
