home,away,league,home_score,away_score,home_goalkeeper,away_goalkeeper,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,away_starting_2,away_starting_3,away_starting_4,away_starting_5,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11
West Brom,West Ham,2015-2016 Barclays Premier League,0,3,Ben Foster,Adrian,Jonas Olsson,Gareth McAuley,Jonny Evans,Craig Dawson,Craig Gardner,Claudio Yacob,Darren Fletcher,Salomon Rondon,James McClean,Jonathan Leko,Angelo Ogbonna,Winston Reid,Aaron Cresswell,Michail Antonio,Mark Noble,Cheikhou Kouyate,Dimitri Payet,Manuel Lanzini,Andy Carroll,Diafra Sakho
Arsenal,Norwich City,2015-2016 Barclays Premier League,1,0,Petr Cech,John Ruddy,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Hector Bellerin,Mesut Ozil,Aaron Ramsey,Mohamed Elneny,Olivier Giroud,Alex Iwobi,Alexis Sanchez,Sebastien Bassong,Russell Martin,Martin Olsson,Ivo Pinto,Jonathan Howson,Gary O'Neil,Robbie Brady,Nathan Redmond,Cameron Jerome,Wes Hoolahan
Swansea City,Liverpool,2015-2016 Barclays Premier League,3,1,Lukasz Fabianski,Danny Ward,Ashley Williams,Jordi Amat,Neil Taylor,Angel Rangel,Gylfi Sigurdsson,Leon Britton,Jack Cork,Andre Ayew,Jefferson Montero,Wayne Routledge,Dejan Lovren,Martin Skrtel,Brad Smith,Nathaniel Clyne,Kevin Stewart,Pedro Chirivella,Jordon Ibe,Sheyi Ojo,Daniel Sturridge,Philippe Coutinho
Manchester Utd,Leicester City,2015-2016 Barclays Premier League,1,1,David de Gea,Kasper Schmeichel,Daley Blind,Chris Smalling,Michael Carrick,Marcos Rojo,Antonio Valencia,Wayne Rooney,Marouane Fellaini,Anthony Martial,Jesse Lingard,Marcus Rashford,Robert Huth,Wes Morgan,Christian Fuchs,Danny Simpson,Danny Drinkwater,N'Golo Kante,Jeff Schlupp,Riyad Mahrez,Leonardo Ulloa,Shinji Okazaki
Southampton,Manchester City,2015-2016 Barclays Premier League,4,2,Fraser Forster,Joe Hart,Virgil van Dijk,Jose Fonte,Ryan Bertrand,Cuco Martina,Steven Davis,Jordy Clasie,Victor Wanyama,Shane Long,Dusan Tadic,Sadio Mane,Eliaquim Mangala,Nicolas Otamendi,Aleksandar Kolarov,Pablo Zabaleta,Fabian Delph,Fernandinho,Raheem Sterling,Samir Nasri,Wilfried Bony,Kelechi Iheanacho
Chelsea,Tottenham,2015-2016 Barclays Premier League,2,2,Asmir Begovic,Hugo Lloris,John Terry,Gary Cahill,Cesar Azpilicueta,Branislav Ivanovic,Cesc Fabregas,Nemanja Matic,John Obi Mikel,Diego Costa,Pedro,Willian,Jan Vertonghen,Toby Alderweireld,Danny Rose,Kyle Walker,Christian Eriksen,Mousa Dembele,Eric Dier,Harry Kane,Erik Lamela,Son Heung-Min
Bournemouth,West Brom,2015-2016 Barclays Premier League,1,1,Artur Boruc,Ben Foster,Steve Cook,Tommy Elphick,Charlie Daniels,Simon Francis,Harry Arter,Andrew Surman,Max Gradel,Junior Stanislas,Lewis Grabban,Benik Afobe,Jonas Olsson,Gareth McAuley,Jonny Evans,Craig Dawson,Craig Gardner,Darren Fletcher,Claudio Yacob,Salomon Rondon,James McClean,Jonathan Leko
Aston Villa,Newcastle Utd,2015-2016 Barclays Premier League,0,0,Mark Bunn,Karl Darlow,Joleon Lescott,Ciaran Clark,Leandro Bacuna,Idrissa Gueye,Ashley Westwood,Carlos Sanchez,Kevin Toner,Alan Hutton,Scott Sinclair,Jordan Ayew,Jamaal Lascelles,Chancel Mbemba,Paul Dummett,Vurnon Anita,Moussa Sissoko,Jack Colback,Cheick Tiote,Papiss Cisse,Georginio Wijnaldum,Andros Townsend
Crystal Palace,Stoke City,2015-2016 Barclays Premier League,2,1,Wayne Hennessey,Jakob Haugaard,Damien Delaney,Scott Dann,Pape Souare,Joel Ward,Jason Puncheon,Yohan Cabaye,James McArthur,Connor Wickham,Dwight Gayle,Yannick Bolasie,Geoff Cameron,Ryan Shawcross,Glenn Whelan,Erik Pieters,Phil Bardsley,Charlie Adam,Giannelli Imbula,Marko Arnautovic,Xherdan Shaqiri,Peter Crouch
Leicester City,Everton,2015-2016 Barclays Premier League,3,1,Kasper Schmeichel,Joel Robles,Wes Morgan,Marcin Wasilewski,Christian Fuchs,Danny Simpson,N'Golo Kante,Andy King,Marc Albrighton,Riyad Mahrez,Jamie Vardy,Shinji Okazaki,Matthew Pennington,John Stones,Leighton Baines,Bryan Oviedo,James McCarthy,Ross Barkley,Tom Cleverley,Aaron Lennon,Romelu Lukaku,Oumar Niasse
