home,away,league,home_score,away_score,home_goalkeeper,away_goalkeeper,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,away_starting_2,away_starting_3,away_starting_4,away_starting_5,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11
Everton,Wigan Athletic,2005-2006 Barclays Premier League,0,1,Nigel Martyn,John Filan,David Weir,Phil Neville,Joseph Yobo,Nuno Valente,Tim Cahill,Leon Osman,Kevin Kilbane,Simon Davies,Mikel Arteta,James McFadden,Arjan De Zeeuw,Stephane Henchoz,Leighton Baines,Pascal Chimbonda,Damien Francis,Graham Kavanagh,Jimmy Bullard,Jason Roberts,Lee McCulloch,Henri Camara
Manchester Utd,Blackburn,2005-2006 Barclays Premier League,1,2,Edwin van der Sar,Brad Friedel,John O'Shea,Rio Ferdinand,Mikael Silvestre,Paul Scholes,Darren Fletcher,Cristiano Ronaldo,Kieran Richardson,Alan Smith,Ruud van Nistelrooy,Park Ji-Sung,Lucas Neill,Zurab Khizanishvili,Michael Gray,Ryan Nelsen,Tugay Kerimoglu,Robbie Savage,Morten Gamst Pedersen,David Bentley,Paul Dickov,Craig Bellamy
Newcastle Utd,Manchester City,2005-2006 Barclays Premier League,1,0,Shay Given,David James,Titus Bramble,Celestine Babayaro,Jean Alain Boumsong,Stephen Carr,Scott Parker,Lee Bowyer,Lee Clark,Charles N'Zogbia,Michael Owen,Alan Shearer,Ben Thatcher,Richard Dunne,Sylvain Distin,Sun Jihai,Nedum Onuoha,Claudio Reyna,Kizito Musampa,Antoine Sibierski,Joey Barton,Darius Vassell
West Brom,Charlton Ath,2005-2006 Barclays Premier League,1,2,Chris Kirkland,Stephan Andersen,Paul Robinson,Neil Clement,Steve Watson,Ronnie Wallwork,Curtis Davies,Andy Johnson,Jonathan Greening,Robert Earnshaw,Kevin Campbell,Zoltan Gera,Luke Young,Chris Powell,Hermann Hreidarsson,Chris Perry,Radostin Kishishev,Danny Murphy,Alexey Smertin,Darren Bent,Jerome Thomas,Dennis Rommedahl
West Ham,Arsenal,2005-2006 Barclays Premier League,0,0,Roy Carroll,Jens Lehmann,Hayden Mullins,Daniel Gabbidon,Paul Konchesky,Tomas Repka,Anton Ferdinand,Matthew Etherington,Yossi Benayoun,Nigel Reo-Coker,Marlon Harewood,Teddy Sheringham,Lauren,Sol Campbell,Ashley Cole,Kolo Toure,Freddie Ljungberg,Gilberto Silva,Alexsandr Hleb,Cesc Fabregas,Jose Antonio Reyes,Robin van Persie
Bolton,Portsmouth,2005-2006 Barclays Premier League,1,0,Jussi Jaaskelainen,Jamie Ashdown,Nicky Hunt,Bruno N'Gotty,Tal Ben Haim,Ricardo Gardner,Kevin Nolan,Gary Speed,Jay-Jay Okocha,Hidetoshi Nakata,Kevin Davies,Henrik Pedersen,Matthew Taylor,Gregory Vignal,Andrew O'Brien,Dejan Stefanovic,Brian Priske,Gary O'Neil,Richard Hughes,Laurent Robert,Salif Diao,Dario Silva
Middlesbrough,Sunderland,2005-2006 Barclays Premier League,0,2,Brad Jones,Kelvin Davis,Abel Xavier,Ugo Ehiogu,Gareth Southgate,Franck Queudrue,Emanuel Pogatetz,George Boateng,Fabio Rochemback,James Morrison,Mark Viduka,Yakubu Aiyegbeni,Steven Caldwell,Nyron Nosworthy,Gary Breen,Justin Hoyte,Andy Gray,Dean Whitehead,Julio Arca,Tommy Miller,Christian Bassila,Stephen Elliott
Tottenham,Fulham,2005-2006 Barclays Premier League,1,0,Paul Robinson,Tony Warner,Ledley King,Paul Stalteri,Noureddine Naybet,Lee Young-Pyo,Jermaine Jenas,Edgar Davids,Aaron Lennon,Pedro Mendes,Jermain Defoe,Hossam Mido,Moritz Volz,Zat Knight,Niclas Jensen,Carlos Bocanegra,Papa Bouba Diop,Claus Jensen,Steed Malbranque,Tomasz Radzinski,Luis Boa Morte,Brian McBride
Blackburn,West Brom,2005-2006 Barclays Premier League,2,0,Brad Friedel,Chris Kirkland,Lucas Neill,Zurab Khizanishvili,Michael Gray,Ryan Nelsen,Steven Reid,Tugay Kerimoglu,Morten Gamst Pedersen,David Bentley,Paul Dickov,Craig Bellamy,Paul Robinson,Neil Clement,Ronnie Wallwork,Martin Albrechtsen,Curtis Davies,Jonathan Greening,Richard Chaplow,Kevin Campbell,Diomansy Kamara,Zoltan Gera
Charlton Ath,Tottenham,2005-2006 Barclays Premier League,2,3,Stephan Andersen,Paul Robinson,Luke Young,Chris Powell,Chris Perry,Talal El Karkouri,Radostin Kishishev,Danny Murphy,Alexey Smertin,Darren Bent,Jerome Thomas,Dennis Rommedahl,Ledley King,Paul Stalteri,Noureddine Naybet,Stephen Kelly,Jermaine Jenas,Edgar Davids,Aaron Lennon,Pedro Mendes,Jermain Defoe,Hossam Mido
Fulham,Manchester Utd,2005-2006 Barclays Premier League,2,3,Mark Crossley,Edwin van der Sar,Moritz Volz,Luis Boa Morte,Alain Goma,Niclas Jensen,Carlos Bocanegra,Papa Bouba Diop,Claus Jensen,Steed Malbranque,Brian McBride,Collins John,John O'Shea,Rio Ferdinand,Ryan Giggs,Mikael Silvestre,Darren Fletcher,Kieran Richardson,Alan Smith,Ruud van Nistelrooy,Wayne Rooney,Park Ji-Sung
Portsmouth,Newcastle Utd,2005-2006 Barclays Premier League,0,0,Jamie Ashdown,Shay Given,Matthew Taylor,Gregory Vignal,Andy Griffin,Andrew O'Brien,Dejan Stefanovic,Brian Priske,Gary O'Neil,Salif Diao,Zvonimir Vukic,Dario Silva,Celestine Babayaro,Jean Alain Boumsong,Stephen Carr,Scott Parker,Lee Bowyer,Lee Clark,Steven Taylor,Charles N'Zogbia,Shola Ameobi,Alan Shearer
Sunderland,West Ham,2005-2006 Barclays Premier League,1,1,Kelvin Davis,Roy Carroll,Steven Caldwell,Nyron Nosworthy,Gary Breen,Justin Hoyte,Andy Gray,Dean Whitehead,Tommy Miller,Christian Bassila,Andrew Welsh,Stephen Elliott,Hayden Mullins,Daniel Gabbidon,Paul Konchesky,Tomas Repka,Anton Ferdinand,Matthew Etherington,Yossi Benayoun,Nigel Reo-Coker,Marlon Harewood,Teddy Sheringham
Manchester City,Everton,2005-2006 Barclays Premier League,2,0,David James,Nigel Martyn,Danny Mills,Richard Dunne,Sylvain Distin,Stephen Jordan,Kizito Musampa,Antoine Sibierski,Joey Barton,Stephen Ireland,Darius Vassell,Andrew Cole,David Weir,Phil Neville,Joseph Yobo,Matteo Ferrari,Nuno Valente,Tim Cahill,Leon Osman,Kevin Kilbane,James McFadden,Marcus Bent
Wigan Athletic,Bolton,2005-2006 Barclays Premier League,2,1,John Filan,Jussi Jaaskelainen,Arjan De Zeeuw,Stephane Henchoz,Leighton Baines,Pascal Chimbonda,Damien Francis,Graham Kavanagh,Jimmy Bullard,Jason Roberts,Lee McCulloch,Henri Camara,Bruno N'Gotty,Tal Ben Haim,Radhi Jaidi,Ricardo Gardner,Kevin Nolan,Gary Speed,Jay-Jay Okocha,Hidetoshi Nakata,Kevin Davies,Henrik Pedersen
Arsenal,Birmingham City,2005-2006 Barclays Premier League,1,0,Jens Lehmann,Maik Taylor,Lauren,Sol Campbell,Ashley Cole,Kolo Toure,Robert Pires,Freddie Ljungberg,Gilberto Silva,Alexsandr Hleb,Cesc Fabregas,Jose Antonio Reyes,Olivier Tebily,Kenny Cunningham,Matthew Upson,Jamie Clapham,Julian Gray,Damien Johnson,Jermaine Pennant,Stephen Clemence,Emile Heskey,Walter Pandiani
Aston Villa,Middlesbrough,2005-2006 Barclays Premier League,2,3,Thomas Sorensen,Brad Jones,Liam Ridgewell,Gareth Barry,Wilfred Bouma,Olof Mellberg,Ulises De la Cruz,Patrik Berger,James Milner,Steven Davis,Juan Pablo Angel,Luke Moore,Abel Xavier,Chris Riggott,Gareth Southgate,Emanuel Pogatetz,George Boateng,Guidoni Junior Doriva,Gaizka Mendieta,Fabio Rochemback,Szilard Nemeth,Yakubu Aiyegbeni
Liverpool,Chelsea,2005-2006 Barclays Premier League,1,4,Pepe Reina,Petr Cech,Jamie Carragher,Djimi Traore,Sami Hyypia,Steve Finnan,Dietmar Hamann,Steven Gerrard,John Arne Riise,Xabi Alonso,Luis Garcia,Peter Crouch,William Gallas,John Terry,Ricardo Carvalho,Asier Del Horno,Damien Duff,Joe Cole,Frank Lampard,Michael Essien,Claude Makelele,Didier Drogba
Wigan Athletic,Newcastle Utd,2005-2006 Barclays Premier League,1,0,John Filan,Shay Given,Arjan De Zeeuw,Stephane Henchoz,Leighton Baines,Pascal Chimbonda,Damien Francis,Graham Kavanagh,Jimmy Bullard,Jason Roberts,Lee McCulloch,Henri Camara,Robbie Elliott,Jean Alain Boumsong,Stephen Carr,Scott Parker,Lee Bowyer,Amdy Faye,Steven Taylor,Charles N'Zogbia,Michael Owen,Alan Shearer
Chelsea,Bolton,2005-2006 Barclays Premier League,5,1,Petr Cech,Jussi Jaaskelainen,William Gallas,John Terry,Ricardo Carvalho,Asier Del Horno,Shaun Wright-Phillips,Joe Cole,Frank Lampard,Michael Essien,Claude Makelele,Didier Drogba,Bruno N'Gotty,Tal Ben Haim,Radhi Jaidi,Kevin Nolan,Gary Speed,Stelios Giannakopoulos,Abdoulaye Faye,Kevin Davies,Henrik Pedersen,El-Hadji Diouf
Liverpool,Blackburn,2005-2006 Barclays Premier League,1,0,Pepe Reina,Brad Friedel,Jamie Carragher,Djimi Traore,Steve Finnan,Josemi,Boudewijn Zenden,Xabi Alonso,Stephen Warnock,Mohamed Sissoko,Peter Crouch,Djibril Cisse,Lucas Neill,Zurab Khizanishvili,Michael Gray,Ryan Nelsen,Tugay Kerimoglu,Robbie Savage,Morten Gamst Pedersen,David Bentley,Paul Dickov,Shefki Kuqi
Sunderland,Manchester Utd,2005-2006 Barclays Premier League,1,3,Kelvin Davis,Edwin van der Sar,Steven Caldwell,Nyron Nosworthy,Gary Breen,Justin Hoyte,Andy Gray,Liam Lawrence,Dean Whitehead,Tommy Miller,Andrew Welsh,Stephen Elliott,John O'Shea,Rio Ferdinand,Mikael Silvestre,Phil Bardsley,Paul Scholes,Cristiano Ronaldo,Alan Smith,Ruud van Nistelrooy,Wayne Rooney,Park Ji-Sung
Tottenham,Everton,2005-2006 Barclays Premier League,2,0,Paul Robinson,Nigel Martyn,Ledley King,Paul Stalteri,Michael Dawson,Lee Young-Pyo,Jermaine Jenas,Michael Carrick,Edgar Davids,Aaron Lennon,Jermain Defoe,Hossam Mido,David Weir,Phil Neville,Joseph Yobo,Matteo Ferrari,Nuno Valente,Tim Cahill,Kevin Kilbane,Simon Davies,James McFadden,Marcus Bent
West Brom,Arsenal,2005-2006 Barclays Premier League,2,1,Chris Kirkland,Jens Lehmann,Paul Robinson,Neil Clement,Steve Watson,Ronnie Wallwork,Martin Albrechtsen,Curtis Davies,Jonathan Greening,Geoff Horsfield,Nwankwo Kanu,Diomansy Kamara,Lauren,Philippe Senderos,Kolo Toure,Gael Clichy,Robert Pires,Freddie Ljungberg,Cesc Fabregas,Mathieu Flamini,Dennis Bergkamp,Jose Antonio Reyes
Middlesbrough,Portsmouth,2005-2006 Barclays Premier League,1,1,Mark Schwarzer,Jamie Ashdown,Chris Riggott,Stuart Parnaby,Gareth Southgate,Franck Queudrue,Emanuel Pogatetz,George Boateng,Guidoni Junior Doriva,Fabio Rochemback,Yakubu Aiyegbeni,Massimo Maccarone,Matthew Taylor,Andy Griffin,Andrew O'Brien,Dejan Stefanovic,Brian Priske,Gary O'Neil,Laurent Robert,Zvonimir Vukic,Jhon Viafara,Dario Silva
Birmingham City,Aston Villa,2005-2006 Barclays Premier League,0,1,Maik Taylor,Thomas Sorensen,Olivier Tebily,Martin Taylor,Matthew Upson,Jamie Clapham,Julian Gray,Damien Johnson,Jermaine Pennant,Stephen Clemence,Emile Heskey,Walter Pandiani,Liam Ridgewell,Gareth Barry,Aaron Hughes,Wilfred Bouma,Olof Mellberg,Eirik Bakke,James Milner,Steven Davis,Kevin Phillips,Luke Moore
Manchester City,West Ham,2005-2006 Barclays Premier League,2,1,David James,Roy Carroll,Danny Mills,Sylvain Distin,Nedum Onuoha,Stephen Jordan,Claudio Reyna,Kizito Musampa,Joey Barton,Stephen Ireland,Darius Vassell,Andrew Cole,Hayden Mullins,Daniel Gabbidon,Paul Konchesky,Tomas Repka,Anton Ferdinand,Matthew Etherington,Yossi Benayoun,Nigel Reo-Coker,Marlon Harewood,Teddy Sheringham
Charlton Ath,Fulham,2005-2006 Barclays Premier League,1,1,Stephan Andersen,Mark Crossley,Luke Young,Chris Powell,Hermann Hreidarsson,Chris Perry,Radostin Kishishev,Danny Murphy,Alexey Smertin,Dennis Rommedahl,Darren Bent,Jerome Thomas,Moritz Volz,Alain Goma,Niclas Jensen,Philippe Christanval,Carlos Bocanegra,Papa Bouba Diop,Claus Jensen,Steed Malbranque,Luis Boa Morte,Collins John
Blackburn,Birmingham City,2005-2006 Barclays Premier League,2,0,Brad Friedel,Maik Taylor,Lucas Neill,Zurab Khizanishvili,Michael Gray,Ryan Nelsen,Tugay Kerimoglu,Robbie Savage,Morten Gamst Pedersen,David Bentley,Paul Dickov,Shefki Kuqi,Olivier Tebily,Kenny Cunningham,Matthew Upson,Jamie Clapham,Stan Lazaridis,Damien Johnson,Jermaine Pennant,Nicky Butt,Emile Heskey,Mikael Forssell
Arsenal,Manchester City,2005-2006 Barclays Premier League,1,0,Jens Lehmann,David James,Lauren,Pascal Cygan,Kolo Toure,Gael Clichy,Robert Pires,Gilberto Silva,Cesc Fabregas,Mathieu Flamini,Dennis Bergkamp,Thierry Henry,Danny Mills,Sylvain Distin,David Sommeil,Stephen Jordan,Claudio Reyna,Kizito Musampa,Antoine Sibierski,Joey Barton,Stephen Ireland,Darius Vassell
Aston Villa,Wigan Athletic,2005-2006 Barclays Premier League,0,2,Thomas Sorensen,John Filan,Liam Ridgewell,Gareth Barry,Jlloyd Samuel,Aaron Hughes,Olof Mellberg,Eirik Bakke,James Milner,Steven Davis,Kevin Phillips,Luke Moore,Arjan De Zeeuw,Stephane Henchoz,Leighton Baines,Pascal Chimbonda,Damien Francis,Graham Kavanagh,Jimmy Bullard,Alan Mahon,Jason Roberts,Henri Camara
Fulham,Liverpool,2005-2006 Barclays Premier League,2,0,Mark Crossley,Pepe Reina,Moritz Volz,Alain Goma,Niclas Jensen,Carlos Bocanegra,Papa Bouba Diop,Claus Jensen,Steed Malbranque,Ahmad Elrich,Luis Boa Morte,Collins John,Jamie Carragher,Djimi Traore,Sami Hyypia,Josemi,Harry Kewell,John Arne Riise,Xabi Alonso,Mohamed Sissoko,Djibril Cisse,Fernando Sanchez Morientes
Manchester Utd,Tottenham,2005-2006 Barclays Premier League,1,1,Edwin van der Sar,Paul Robinson,John O'Shea,Rio Ferdinand,Mikael Silvestre,Phil Bardsley,Paul Scholes,Darren Fletcher,Alan Smith,Ruud van Nistelrooy,Wayne Rooney,Park Ji-Sung,Ledley King,Paul Stalteri,Michael Dawson,Lee Young-Pyo,Jermaine Jenas,Michael Carrick,Edgar Davids,Aaron Lennon,Jermain Defoe,Hossam Mido
Portsmouth,Charlton Ath,2005-2006 Barclays Premier League,1,2,Jamie Ashdown,Stephan Andersen,Gregory Vignal,Andrew O'Brien,Dejan Stefanovic,Brian Priske,Gary O'Neil,Matthew Taylor,Jhon Viafara,Laurent Robert,Dario Silva,Zvonimir Vukic,Luke Young,Hermann Hreidarsson,Chris Perry,Jonathan Spector,Radostin Kishishev,Danny Murphy,Darren Ambrose,Alexey Smertin,Dennis Rommedahl,Darren Bent
Newcastle Utd,Sunderland,2005-2006 Barclays Premier League,3,2,Shay Given,Kelvin Davis,Jean Alain Boumsong,Peter Ramage,Stephen Carr,Scott Parker,Nolberto Solano,Steven Taylor,Emre Belozoglu,Charles N'Zogbia,Shola Ameobi,Alan Shearer,Steven Caldwell,Nyron Nosworthy,Gary Breen,Justin Hoyte,Andy Gray,Liam Lawrence,Dean Whitehead,Tommy Miller,Andrew Welsh,Stephen Elliott
Bolton,West Brom,2005-2006 Barclays Premier League,2,0,Jussi Jaaskelainen,Chris Kirkland,Bruno N'Gotty,Tal Ben Haim,Kevin Nolan,Hidetoshi Nakata,Stelios Giannakopoulos,Abdoulaye Faye,Joey O'Brien,Kevin Davies,Henrik Pedersen,El-Hadji Diouf,Paul Robinson,Neil Clement,Darren Moore,Steve Watson,Martin Albrechtsen,Curtis Davies,Jonathan Greening,Darren Carter,Geoff Horsfield,Diomansy Kamara
West Ham,Middlesbrough,2005-2006 Barclays Premier League,2,1,Shaka Hislop,Mark Schwarzer,Hayden Mullins,Daniel Gabbidon,Paul Konchesky,Tomas Repka,Anton Ferdinand,Matthew Etherington,Yossi Benayoun,Nigel Reo-Coker,Marlon Harewood,Bobby Zamora,Chris Riggott,Gareth Southgate,Emanuel Pogatetz,Matthew Bates,George Boateng,Guidoni Junior Doriva,Gaizka Mendieta,Fabio Rochemback,Yakubu Aiyegbeni,Massimo Maccarone
Everton,Chelsea,2005-2006 Barclays Premier League,1,1,Nigel Martyn,Petr Cech,Tony Hibbert,David Weir,Phil Neville,Joseph Yobo,Nuno Valente,Tim Cahill,Kevin Kilbane,Mikel Arteta,Duncan Ferguson,James Beattie,William Gallas,John Terry,Asier Del Horno,Robert Huth,Shaun Wright-Phillips,Joe Cole,Frank Lampard,Michael Essien,Claude Makelele,Didier Drogba
Wigan Athletic,Fulham,2005-2006 Barclays Premier League,1,0,John Filan,Tony Warner,Arjan De Zeeuw,Stephane Henchoz,Ryan Taylor,Leighton Baines,Pascal Chimbonda,Damien Francis,Graham Kavanagh,Jimmy Bullard,Alan Mahon,Henri Camara,Moritz Volz,Alain Goma,Niclas Jensen,Carlos Bocanegra,Papa Bouba Diop,Claus Jensen,Steed Malbranque,Tomasz Radzinski,Luis Boa Morte,Collins John
Tottenham,Arsenal,2005-2006 Barclays Premier League,1,1,Paul Robinson,Jens Lehmann,Ledley King,Paul Stalteri,Michael Dawson,Lee Young-Pyo,Jermaine Jenas,Michael Carrick,Teemu Tainio,Aaron Lennon,Jermain Defoe,Hossam Mido,Lauren,Sol Campbell,Kolo Toure,Gael Clichy,Freddie Ljungberg,Gilberto Silva,Cesc Fabregas,Mathieu Flamini,Dennis Bergkamp,Jose Antonio Reyes
Birmingham City,Everton,2005-2006 Barclays Premier League,0,1,Maik Taylor,Nigel Martyn,Kenny Cunningham,Martin Taylor,Matthew Upson,Jamie Clapham,Damien Johnson,Jermaine Pennant,Nicky Butt,Jiri Jarosik,Emile Heskey,Mikael Forssell,Tony Hibbert,David Weir,Phil Neville,Joseph Yobo,Andy Van der Meyde,Tim Cahill,Simon Davies,Mikel Arteta,Duncan Ferguson,James Beattie
Charlton Ath,Bolton,2005-2006 Barclays Premier League,0,1,Stephan Andersen,Jussi Jaaskelainen,Luke Young,Hermann Hreidarsson,Chris Perry,Jonathan Spector,Radostin Kishishev,Danny Murphy,Darren Ambrose,Alexey Smertin,Jay Bothroyd,Dennis Rommedahl,Bruno N'Gotty,Radhi Jaidi,Ricardo Gardner,Kevin Nolan,Gary Speed,Hidetoshi Nakata,Abdoulaye Faye,Joey O'Brien,Kevin Davies,El-Hadji Diouf
Chelsea,Blackburn,2005-2006 Barclays Premier League,4,2,Petr Cech,Brad Friedel,William Gallas,John Terry,Ricardo Carvalho,Asier Del Horno,Shaun Wright-Phillips,Joe Cole,Frank Lampard,Michael Essien,Claude Makelele,Didier Drogba,Lucas Neill,Zurab Khizanishvili,Andy Todd,Michael Gray,Tugay Kerimoglu,Robbie Savage,Morten Gamst Pedersen,Brett Emerton,Shefki Kuqi,Craig Bellamy
Liverpool,West Ham,2005-2006 Barclays Premier League,2,0,Pepe Reina,Shaka Hislop,Jamie Carragher,Sami Hyypia,Steve Finnan,Steven Gerrard,John Arne Riise,Xabi Alonso,Luis Garcia,Mohamed Sissoko,Djibril Cisse,Fernando Sanchez Morientes,Roy Carroll,Hayden Mullins,Daniel Gabbidon,Paul Konchesky,Tomas Repka,Anton Ferdinand,Matthew Etherington,Yossi Benayoun,Nigel Reo-Coker,Marlon Harewood
Sunderland,Portsmouth,2005-2006 Barclays Premier League,1,4,Kelvin Davis,Jamie Ashdown,Steven Caldwell,Nyron Nosworthy,Alan Stubbs,Justin Hoyte,Andy Gray,Liam Lawrence,Dean Whitehead,Tommy Miller,Andrew Welsh,Stephen Elliott,Linvoy Primus,Matthew Taylor,Gregory Vignal,Andy Griffin,Dejan Stefanovic,Brian Priske,Gary O'Neil,Richard Hughes,Zvonimir Vukic,Dario Silva
Middlesbrough,Manchester Utd,2005-2006 Barclays Premier League,4,1,Mark Schwarzer,Edwin van der Sar,Chris Riggott,Franck Queudrue,Matthew Bates,Stuart Parnaby,George Boateng,Gaizka Mendieta,Fabio Rochemback,Emanuel Pogatetz,Jimmy Floyd Hasselbaink,Yakubu Aiyegbeni,John O'Shea,Rio Ferdinand,Mikael Silvestre,Phil Bardsley,Paul Scholes,Darren Fletcher,Alan Smith,Ruud van Nistelrooy,Wayne Rooney,Park Ji-Sung
West Brom,Newcastle Utd,2005-2006 Barclays Premier League,0,3,Tomasz Kuszczak,Shay Given,Riccardo Scimeca,Neil Clement,Darren Moore,Steve Watson,Curtis Davies,Jonathan Greening,Junichi Inamoto,Darren Carter,Robert Earnshaw,Nwankwo Kanu,Celestine Babayaro,Jean Alain Boumsong,Peter Ramage,Scott Parker,Nolberto Solano,Steven Taylor,Emre Belozoglu,Charles N'Zogbia,Michael Owen,Shola Ameobi
Manchester City,Aston Villa,2005-2006 Barclays Premier League,3,1,David James,Stuart Taylor,Danny Mills,Sylvain Distin,David Sommeil,Stephen Jordan,Kizito Musampa,Joey Barton,Lee Croft,Stephen Ireland,Darius Vassell,Andrew Cole,Liam Ridgewell,Gareth Barry,Mark Delaney,Jlloyd Samuel,Olof Mellberg,Gavin McCann,James Milner,Steven Davis,Kevin Phillips,Luke Moore
Aston Villa,Liverpool,2005-2006 Barclays Premier League,0,2,Thomas Sorensen,Pepe Reina,Liam Ridgewell,Gareth Barry,Mark Delaney,Olof Mellberg,Eirik Bakke,Gavin McCann,James Milner,Steven Davis,Kevin Phillips,Milan Baros,Jamie Carragher,Sami Hyypia,Steve Finnan,Steven Gerrard,John Arne Riise,Xabi Alonso,Luis Garcia,Mohamed Sissoko,Djibril Cisse,Fernando Sanchez Morientes
Arsenal,Sunderland,2005-2006 Barclays Premier League,3,1,Jens Lehmann,Ben Alnwick,Lauren,Sol Campbell,Kolo Toure,Gael Clichy,Robert Pires,Gilberto Silva,Cesc Fabregas,Thierry Henry,Jose Antonio Reyes,Robin van Persie,Steven Caldwell,Nyron Nosworthy,Gary Breen,Alan Stubbs,Andy Gray,Carl Robinson,Dean Whitehead,Daryl Murphy,Danny Collins,Jonathan Stead
Blackburn,Charlton Ath,2005-2006 Barclays Premier League,4,1,Brad Friedel,Stephan Andersen,Lucas Neill,Zurab Khizanishvili,Andy Todd,Michael Gray,Steven Reid,Tugay Kerimoglu,Morten Gamst Pedersen,Brett Emerton,Paul Dickov,Craig Bellamy,Luke Young,Hermann Hreidarsson,Chris Perry,Jonathan Spector,Bryan Hughes,Radostin Kishishev,Danny Murphy,Darren Ambrose,Darren Bent,Dennis Rommedahl
Fulham,Manchester City,2005-2006 Barclays Premier League,2,1,Tony Warner,David James,Moritz Volz,Alain Goma,Niclas Jensen,Carlos Bocanegra,Papa Bouba Diop,Steed Malbranque,Tomasz Radzinski,Luis Boa Morte,Brian McBride,Collins John,Danny Mills,Richard Dunne,Sylvain Distin,Stephen Jordan,Kizito Musampa,Joey Barton,Lee Croft,Stephen Ireland,Darius Vassell,Andrew Cole
Newcastle Utd,Birmingham City,2005-2006 Barclays Premier League,1,0,Shay Given,Maik Taylor,Titus Bramble,Celestine Babayaro,Peter Ramage,Scott Parker,Nolberto Solano,Steven Taylor,Emre Belozoglu,Charles N'Zogbia,Michael Owen,Alan Shearer,Kenny Cunningham,Martin Taylor,Matthew Upson,Jamie Clapham,Stan Lazaridis,Muzzy Izzet,Jermaine Pennant,Jiri Jarosik,Neil Kilkenny,Emile Heskey
West Ham,West Brom,2005-2006 Barclays Premier League,1,0,Shaka Hislop,Tomasz Kuszczak,Hayden Mullins,Daniel Gabbidon,Paul Konchesky,Tomas Repka,Anton Ferdinand,Matthew Etherington,Yossi Benayoun,Nigel Reo-Coker,Marlon Harewood,Teddy Sheringham,Neil Clement,Steve Watson,Ronnie Wallwork,Martin Albrechtsen,Curtis Davies,Jonathan Greening,Junichi Inamoto,Robert Earnshaw,Nwankwo Kanu,Diomansy Kamara
Portsmouth,Wigan Athletic,2005-2006 Barclays Premier League,0,2,Jamie Ashdown,John Filan,Linvoy Primus,Matthew Taylor,Gregory Vignal,Andy Griffin,Dejan Stefanovic,Brian Priske,Gary O'Neil,Richard Hughes,Dario Silva,Zvonimir Vukic,Arjan De Zeeuw,Stephane Henchoz,Leighton Baines,Pascal Chimbonda,Damien Francis,Graham Kavanagh,Jimmy Bullard,Jason Roberts,Lee McCulloch,Henri Camara
Everton,Middlesbrough,2005-2006 Barclays Premier League,1,0,Nigel Martyn,Mark Schwarzer,Tony Hibbert,David Weir,Phil Neville,Joseph Yobo,Andy Van der Meyde,Tim Cahill,Simon Davies,Mikel Arteta,Duncan Ferguson,James Beattie,Chris Riggott,Ugo Ehiogu,Stuart Parnaby,Franck Queudrue,Emanuel Pogatetz,George Boateng,Gaizka Mendieta,Fabio Rochemback,Jimmy Floyd Hasselbaink,Yakubu Aiyegbeni
Manchester Utd,Chelsea,2005-2006 Barclays Premier League,1,0,Edwin van der Sar,Petr Cech,John O'Shea,Rio Ferdinand,Wes Brown,Mikael Silvestre,Paul Scholes,Darren Fletcher,Cristiano Ronaldo,Alan Smith,Ruud van Nistelrooy,Wayne Rooney,William Gallas,John Terry,Asier Del Horno,Paulo Ferreira,Damien Duff,Joe Cole,Frank Lampard,Michael Essien,Claude Makelele,Didier Drogba
Bolton,Tottenham,2005-2006 Barclays Premier League,1,0,Jussi Jaaskelainen,Paul Robinson,Tal Ben Haim,Radhi Jaidi,Ricardo Gardner,Kevin Nolan,Gary Speed,Stelios Giannakopoulos,Abdoulaye Faye,Joey O'Brien,Kevin Davies,El-Hadji Diouf,Ledley King,Paul Stalteri,Michael Dawson,Lee Young-Pyo,Jermaine Jenas,Michael Carrick,Teemu Tainio,Edgar Davids,Jermain Defoe,Hossam Mido
Wigan Athletic,Arsenal,2005-2006 Barclays Premier League,2,3,John Filan,Jens Lehmann,Arjan De Zeeuw,Stephane Henchoz,Leighton Baines,Pascal Chimbonda,Damien Francis,Graham Kavanagh,Jimmy Bullard,Jason Roberts,Lee McCulloch,Henri Camara,Lauren,Sol Campbell,Pascal Cygan,Kolo Toure,Robert Pires,Freddie Ljungberg,Gilberto Silva,Cesc Fabregas,Thierry Henry,Robin van Persie
Charlton Ath,Manchester Utd,2005-2006 Barclays Premier League,1,3,Stephan Andersen,Edwin van der Sar,Luke Young,Chris Powell,Hermann Hreidarsson,Talal El Karkouri,Radostin Kishishev,Danny Murphy,Darren Ambrose,Alexey Smertin,Darren Bent,Dennis Rommedahl,John O'Shea,Rio Ferdinand,Wes Brown,Mikael Silvestre,Paul Scholes,Darren Fletcher,Cristiano Ronaldo,Alan Smith,Ruud van Nistelrooy,Wayne Rooney
